C02F,C445,CA9D,DA36,DD03,DEFA,ECAC,ED99,F606,FF32,test,
epoch(ms),Gyr1 X (deg/s),Gyr1 Y (deg/s),Gyr1 Z (deg/s),Acc1 X (g),Acc1 Y (g),Acc1 Z (g),Gyr2 X (deg/s),Gyr2 Y (deg/s),Gyr2 Z (deg/s),Acc2 X (g),Acc2 Y (g),Acc2 Z (g),Gyr3 X (deg/s),Gyr3 Y (deg/s),Gyr3 Z (deg/s),Acc3 X (g),Acc3 Y (g),Acc3 Z (g),Gyr4 X (deg/s),Gyr4 Y (deg/s),Gyr4 Z (deg/s),Acc4 X (g),Acc4 Y (g),Acc4 Z (g),Gyr5 X (deg/s),Gyr5 Y (deg/s),Gyr5 Z (deg/s),Acc5 X (g),Acc5 Y (g),Acc5 Z (g),Gyr6 X (deg/s),Gyr6 Y (deg/s),Gyr6 Z (deg/s),Acc6 X (g),Acc6 Y (g),Acc6 Z (g),Gyr7 X (deg/s),Gyr7 Y (deg/s),Gyr7 Z (deg/s),Acc7 X (g),Acc7 Y (g),Acc7 Z (g),Gyr8 X (deg/s),Gyr8 Y (deg/s),Gyr8 Z (deg/s),Acc8 X (g),Acc8 Y (g),Acc8 Z (g),Gyr9 X (deg/s),Gyr9 Y (deg/s),Gyr9 Z (deg/s),Acc9 X (g),Acc9 Y (g),Acc9 Z (g),Gyr10 X (deg/s),Gyr10 Y (deg/s),Gyr10 Z (deg/s),Acc10 X (g),Acc10 Y (g),Acc10 Z (g),Position X,Position Y,Position Z,Last8epoch,
1561088895748,-0.183,1.22,-0.366,0.078,1.034,0.03,0.5933636363636363,0.027727272727272725,-1.1146363636363636,-0.07145454545454545,1.0142727272727272,-0.0017272727272727272,0.0,0.3843,1.28,-0.0313,-1.0417,0.0142,0.23845454545454545,-0.8373636363636363,0.4547272727272727,-0.030222222222222223,-0.9954444444444445,-0.14277777777777775,1.0974,1.9754,-0.9272,-0.1094,0.9088,0.0538,0.0,0.016636363636363637,-0.5323636363636364,0.029454545454545455,0.9848181818181818,-0.11845454545454545,-0.0671,-0.732,0.183,-0.024900000000000002,-1.0288,-0.208,-0.061000000000000006,0.305,-0.793,0.034,1.014,-0.134,0.7442,-1.0728,-0.3538,-0.1192,0.962,-0.1118,-0.1423333333333333,-2.066222222222222,-0.02711111111111111,0.07066666666666667,-0.9736666666666667,-0.14944444444444444,-0.5898100633410673,0.07668921972157773,-0.26535856473317865,88895748,
1561088895759,-0.427,0.793,-0.427,0.081,1.034,0.028,0.549,-0.024399999999999998,-1.159,-0.0703,1.0144,-0.0013,0.048799999999999996,0.2562,1.1584,-0.0316,-1.0402,0.01,0.5337500000000001,-0.404125,0.8692500000000001,-0.0259,-0.9971,-0.1382,0.49477777777777776,1.6256666666666666,-0.6845555555555556,-0.11,0.9094444444444445,0.05611111111111111,-0.048799999999999996,0.1464,-0.549,0.026799999999999997,0.9823999999999999,-0.11979999999999999,-0.061,-0.8601,0.122,-0.0286,-1.0261,-0.2069,-0.122,0.183,-0.793,0.032,1.017,-0.135,0.6832,-2.1645,-0.4819,-0.1154,0.963,-0.1165,-0.39039999999999997,-1.9509999999999998,-0.061,0.0702,-0.972,-0.1488,-0.5898523048723898,0.07668784459396752,-0.2653438819025522,88895759,
1561088895769,-0.183,0.305,-0.61,0.077,1.029,0.025,0.5124000000000001,0.0427,-1.1773,-0.07133333333333333,1.0126666666666666,-0.004,0.07763636363636364,-0.2661818181818182,0.8872727272727272,-0.031363636363636364,-1.0368181818181816,0.010727272727272728,1.0203636363636364,-0.244,1.4467272727272726,-0.028181818181818183,-0.9973636363636363,-0.1350909090909091,0.08540000000000003,1.0976,-0.366,-0.1088,0.9084,0.057,-0.1098,0.0854,-0.4514,0.0284,0.9843999999999999,-0.11760000000000001,-0.05545454545454545,-0.915,0.122,-0.02472727272727273,-1.027090909090909,-0.20609090909090907,-0.122,0.061,-0.793,0.034,1.019,-0.135,0.671,-2.4756,-0.3782,-0.1096,0.9657,-0.1215,-0.4547272727272727,-1.3969999999999998,-0.061,0.07045454545454545,-0.9714545454545455,-0.14963636363636362,-0.5898907062645011,0.07668659447795824,-0.26533053387470995,88895769,
1561088895779,0.183,0.122,-0.61,0.082,1.028,0.021,0.4676666666666667,-0.02033333333333333,-1.1996666666666667,-0.0704,1.012,-0.008,-0.0183,-0.9329999999999999,0.732,-0.0308,-1.0327,0.0132,1.4024,-0.5734,1.6826,-0.033,-0.994,-0.13340000000000002,-0.22736363636363638,0.5878181818181818,-0.17745454545454545,-0.10636363636363635,0.9074545454545455,0.05809090909090909,-0.1708,0.012200000000000003,-0.427,0.0282,0.9842,-0.1186,6.938893903907228e-18,-0.915,0.122,-0.022,-1.028,-0.207,-0.244,-0.244,-0.732,0.034,1.018,-0.132,0.7209090909090909,-2.1506363636363637,-0.21627272727272726,-0.10818181818181818,0.966,-0.12445454545454546,-0.4575,-0.8234999999999999,-0.0305,0.069,-0.9704999999999999,-0.1505,-0.5899291076566126,0.07668534436194896,-0.26531718584686775,88895779,
1561088895788,0.366,0.183,-0.732,0.083,1.03,0.023,0.49410000000000004,-0.061,-1.1224,-0.0695,1.0114,-0.0077,0.0,-1.4507999999999999,0.732,-0.027,-1.033,0.015600000000000001,1.4325,-1.0365,1.4935,-0.035,-0.99,-0.1345,-0.3172,0.366,-0.048799999999999996,-0.105,0.9062,0.059399999999999994,-0.1441818181818182,0.038818181818181814,-0.427,0.028,0.9833636363636363,-0.119,0.05489999999999999,-0.8052,0.122,-0.0229,-1.028,-0.2052,-0.3538,-0.2989,-0.732,0.0349,1.018,-0.1338,0.39039999999999997,-1.646,-0.09759999999999999,-0.1045,0.9646,-0.1243,-0.6588,-0.5612,0.09759999999999999,0.068,-0.97,-0.15,-0.5899636689095128,0.07668421925754061,-0.26530517262180975,88895788,
1561088895798,0.122,0.488,-0.732,0.082,1.034,0.029,0.366,-0.006100000000000008,-1.037,-0.07239999999999999,1.01,-0.0067,0.2562,-1.5608,0.7198,-0.0212,-1.0368,0.013600000000000001,0.9755,-1.7679999999999998,0.9145000000000001,-0.0325,-0.9875,-0.14150000000000001,-0.2196,0.488,0.0854,-0.1062,0.905,0.0608,-0.0854,0.024399999999999998,-0.427,0.0292,0.983,-0.1178,0.11589999999999999,-0.793,0.1769,-0.0239,-1.0262,-0.2095,-0.366,-0.305,-0.6820909090909091,0.035,1.0171818181818182,-0.13236363636363638,0.006777777777777799,-0.7046666666666667,-0.061,-0.10144444444444445,0.964,-0.12244444444444444,-0.9638,-0.488,0.3172,0.06760000000000001,-0.9712,-0.15,-0.5900020703016241,0.07668296914153133,-0.2652918245939675,88895798,
1561088895809,-0.366,0.793,-0.61,0.083,1.035,0.029,0.4103636363636364,0.2107272727272727,-1.0148181818181818,-0.07063636363636364,1.0107272727272727,-0.006363636363636364,0.2717272727272727,-0.9538181818181818,0.7042727272727273,-0.013181818181818182,-1.0354545454545454,0.010636363636363637,0.17745454545454553,-2.7883636363636364,0.08318181818181819,-0.027272727272727275,-0.987,-0.14863636363636362,-0.122,0.732,0.0,-0.108,0.904,0.061,-0.018299999999999997,-0.0427,-0.3843,0.0272,0.983,-0.1177,0.183,-0.8966,0.1708,-0.0233,-1.027,-0.20709999999999998,-0.3715454545454545,-0.23845454545454545,-0.743090909090909,0.035,1.0191818181818182,-0.12990909090909092,-0.3355,0.8296000000000001,-0.11589999999999999,-0.1028,0.9631,-0.1238,-1.037,-0.5157272727272727,0.4547272727272727,0.06745454545454546,-0.9743636363636363,-0.14954545454545454,-0.5900443118329467,0.07668159401392112,-0.26527714176334105,88895809,
1561088895819,-0.976,0.915,-0.366,0.08,1.035,0.026,0.4697,0.4575,-0.9943,-0.0721,1.0114,-0.0079,0.122,-0.1342,0.8052,-0.012199999999999999,-1.0336,0.004399999999999999,-0.6023750000000001,-3.3845,-0.5337500000000001,-0.021875000000000002,-0.98825,-0.14875,-0.03327272727272727,0.793,-0.1497272727272727,-0.10663636363636364,0.9034545454545455,0.05863636363636364,0.0,-0.061,-0.3233,0.026,0.9843999999999999,-0.118,0.183,-1.3798181818181818,0.04436363636363636,-0.026090909090909088,-1.0267272727272727,-0.20781818181818182,-0.427,-0.183,-0.854,0.035,1.021,-0.129,-0.5307000000000001,1.7437,-0.2867,-0.1057,0.9621,-0.1249,-0.8906,-0.7686000000000001,0.5367999999999999,0.0684,-0.9752,-0.1502,-0.590082713225058,0.07668034389791184,-0.2652637937354988,88895819,
1561088895829,-0.976,0.671,-0.244,0.08,1.031,0.025,0.427,0.6893,-1.0918999999999999,-0.077,1.01,-0.01,-0.1708,0.3172,0.7807999999999999,-0.0172,-1.0316,-0.0066,-0.7763636363636364,-2.9325454545454543,-0.5545454545454546,-0.018727272727272728,-0.9896363636363636,-0.14418181818181816,0.024399999999999998,0.8418,-0.13419999999999999,-0.1054,0.9032,0.0562,0.0,-0.10844444444444444,-0.39988888888888885,0.028333333333333335,0.9842222222222222,-0.11877777777777777,0.183,-2.378,-0.122,-0.027,-1.024,-0.206,-0.366,-0.122,-0.915,0.033,1.015,-0.127,-0.6987272727272728,2.0286363636363633,-0.4048181818181818,-0.10763636363636364,0.9611818181818181,-0.12336363636363636,-0.549,-1.2196,0.5124,0.06820000000000001,-0.9736,-0.1532,-0.5901211146171694,0.07667909378190256,-0.2652504457076566,88895829,
1561088895838,-0.549,0.427,-0.183,0.082,1.03,0.024,0.4148,0.671,-1.2686,-0.0768,1.0098,-0.0104,-0.3937272727272727,0.36045454545454547,0.4547272727272727,-0.01827272727272727,-1.0301818181818183,-0.008727272727272726,-0.09149999999999991,-1.6159999999999999,-0.21350000000000002,-0.019,-0.99,-0.1415,0.0427,0.8418,-0.024399999999999998,-0.1066,0.9017000000000001,0.055,0.0854,-0.122,-0.3416,0.0304,0.9853999999999999,-0.12179999999999999,0.2379,-3.476,-0.34159999999999996,-0.026099999999999998,-1.0249,-0.206,-0.14640000000000003,0.09759999999999996,-0.915,0.032100000000000004,1.0168,-0.1261,-0.9028,2.0303,-0.5124,-0.1087,0.9589,-0.1195,-0.4066666666666667,-1.1989999999999998,0.2846666666666667,0.06466666666666666,-0.972,-0.154,-0.5901556758700697,0.0766779686774942,-0.2652384324825986,88895838,
